Date,Price,p1,p2,p3,p4,p5, p6, p7, p8, p9, p10
Апр 20,185,13,166,80,186,98,150,86,21,31M,10,99%
Март 20,166,80,194,03,197,24,137,10,649,36M,-13,34%
Февр 20,192,47,203,44,218,76,181,82,317,64M,-4,68%
Янв 20,201,91,206,75,224,20,201,06,348,10M,-1,63%
Дек 19,205,25,202,13,208,93,193,17,278,23M,1,79%
Нояб 19,201,64,192,85,203,80,188,54,258,58M,5,21%
Окт 19,191,65,179,15,198,09,173,09,330,15M,7,62%
Сент 19,178,08,184,00,193,10,175,66,267,51M,-4,09%
Авг 19,185,67,194,17,198,47,176,66,295,17M,-4,41%
Июль 19,194,23,195,21,208,66,191,93,351,06M,0,64%
Июнь 19,193,00,175,00,194,53,160,84,426,43M,8,75%
Май 19,177,47,194,78,196,18,177,16,286,82M,-8,24%
Апр 19,193,40,167,83,198,48,167,28,382,18M,16,02%
Март 19,166,69,162,60,174,30,159,28,388,17M,3,25%
Февр 19,161,45,165,84,172,47,159,59,302,24M,-3,14%
Янв 19,166,69,128,99,171,68,128,56,527,56M,27,16%
Дек 18,131,09,143,00,147,19,123,02,558,79M,-6,77%
Нояб 18,140,61,151,52,154,13,126,85,518,15M,-7,37%
Окт 18,151,79,163,03,165,88,139,03,622,45M,-7,70%
Сент 18,164,46,173,50,173,89,158,87,500,47M,-6,41%
Авг 18,175,73,173,93,188,30,170,27,549,02M,1,83%
Июль 18,172,58,193,37,218,62,166,56,652,76M,-11,19%
Июнь 18,194,32,193,06,203,55,186,43,387,27M,1,32%
Май 18,191,78,172,00,192,72,170,23,401,14M,11,50%
Апр 18,172,00,157,81,177,10,150,51,751,13M,7,64%
Март 18,159,79,179,01,186,10,149,02,996,23M,-10,39%
Февр 18,178,32,188,22,195,32,167,18,516,62M,-4,59%
Янв 18,186,89,177,68,190,66,175,80,495,66M,5,91%
Дек 17,176,46,176,03,182,28,169,01,317,10M,-0,41%
Нояб 17,177,18,182,36,184,25,174,00,351,00M,-1,60%
Окт 17,180,06,171,39,180,80,168,29,318,15M,5,38%
Сент 17,170,87,172,40,174,00,161,56,304,83M,-0,64%
Авг 17,171,97,169,82,173,05,165,00,303,62M,1,61%
Июль 17,169,25,151,72,175,49,147,80,419,91M,12,10%
Июнь 17,150,98,151,75,156,50,144,56,414,76M,-0,32%
Май 17,151,46,151,74,153,60,144,42,403,66M,0,81%
Апр 17,150,25,141,93,151,53,138,81,275,59M,5,77%
Март 17,142,05,136,47,142,95,136,08,342,10M,4,80%
Февр 17,135,54,132,25,137,18,130,30,384,70M,4,01%
Янв 17,130,32,116,03,133,14,115,51,379,00M,13,27%
Дек 16,115,05,118,38,122,50,114,00,408,73M,-2,85%
Нояб 16,118,42,131,41,131,94,113,55,654,60M,-9,60%
Окт 16,130,99,128,38,133,50,126,75,313,28M,2,12%
Сент 16,128,27,126,38,131,98,125,60,376,58M,1,70%
Авг 16,126,12,123,85,126,73,122,07,365,67M,1,76%
Июль 16,123,94,114,20,128,33,112,97,470,11M,8,45%
Июнь 16,114,28,118,50,119,44,108,23,451,16M,-3,81%
Май 16,118,81,117,83,121,08,114,80,460,56M,1,05%
Апр 16,117,58,113,75,120,79,106,31,741,61M,3,05%
Март 16,114,10,107,83,116,99,104,40,521,56M,6,72%
Февр 16,106,92,112,27,117,59,96,82,874,15M,-4,71%
Янв 16,112,21,101,95,112,84,89,37,792,71M,7,21%
Дек 15,104,66,104,83,107,92,101,46,440,48M,0,40%
Нояб 15,104,24,102,46,110,65,100,47,547,23M,2,23%
Окт 15,101,97,90,05,105,12,88,36,571,99M,13,43%
Сент 15,89,90,86,85,96,49,85,72,635,40M,0,53%
Авг 15,89,43,93,53,98,74,72,00,709,95M,-4,87%
Июль 15,94,01,86,77,99,24,85,23,790,78M,9,61%
Июнь 15,85,77,79,30,89,40,78,66,537,96M,8,31%
Май 15,79,19,79,24,81,84,76,79,421,87M,0,53%
Апр 15,78,77,82,50,85,59,78,32,542,12M,-4,20%
